Word,Sentiment
rahmat,positive
berkah,positive
ilmu,positive
hikmah,positive
taqwa,positive
ibadah,positive
iman,positive
jihad,positive
syukur,positive
haram,negative
maksiat,negative
syirik,negative
fitnah,negative
neraka,negative
zalim,negative
bid'ah,negative
berdosa,negative
Allah,positive
Nabi,positive
Qur'an,positive
Hadis,positive
Ibadah,positive
Puasa,positive
Zakat,positive
Haji,positive
Shalat,positive
Masjid,positive
Ka'bah,positive
Rasul,positive
Ummah,positive
Syariah,positive
Sunnah,positive
Taqwa,positive
Akhirat,positive
Jannah,positive
Jahannam,negative
Tauhid,positive
Fitrah,positive
Halal,positive
Haram,negative
Firdaus,positive
Malaikat,positive
Sabar,positive
Tawakal,positive
Istighfar,negative
Dzikir,positive
Iman,positive
Ihsan,positive
Ummahatul Mukminin,positive
Khilafah,negative
Jihad,negative
Ilmu,positive
Ustadz,positive
Syahadat,positive
Salaf,positive
Sahabat,positive
Tabligh,positive
Tarawih,positive
Istinja,positive
ampunan,positive
kasih sayang,positive
ukhuwah,positive
pernikahan,positive
perceraian,negative
wudhu,positive
hijab,positive
moderat,positive
ekstrim,negative
doa,positive
jumat,positive
kebangkitan,negative
siksa,negative
hukuman,negative
sujud,positive
adzan,positive
toa,negative
umat,positive
infaq,positive
Zakat,positive
sedekah,positive
Tafsir,positive
Fikih,positive
perlindungan,positive
Etika,positive
Moralitas,positive
kepercayaan,positive
golongan,negative
menyerah,negative
poligami,negative
Subhanallah,positive
Alhamdulillah,positive
Allahu Akbar,positive
Bismillah,positive
Astaghfirullah,negative
InshaAllah,positive
MashaAllah,positive
Innalillahi,negative
Barakallah,positive
isbal,negative
