Waktu,ID,Username,Teks
1972-01-19T21:45:32,1aeb214f-74cc-4735-805b-04fd7685b89b,sihombingbetania,"Quis saepe labore aperiam alias quas, explicabo quaerat ullam eius, quo alias natus consectetur, neque ut provident rem suscipit molestiae expedita magnam?"
1984-03-02T21:27:05,7253e5b5-bb14-46ee-8789-81d5db08147e,himawanagustina,"Cupiditate tempora quos non cum, tempora dolore eaque delectus atque officiis, eius rem debitis accusamus?"
1973-11-15T12:29:56,4af5aa9a-22fc-4ea5-a776-74d1d10cdfbf,wardayatarihoran,"Ex quae expedita voluptates ipsa eaque eius ipsam assumenda sit dolor, nemo quae saepe animi magnam dolore."
1989-06-03T09:17:05,2245246f-4ca4-4252-a702-d8175a017b46,jfirgantoro,"Eveniet itaque rerum eum deserunt fuga quia commodi odio animi nesciunt voluptate, tempore nostrum libero repellendus deserunt nihil culpa fugit et praesentium, nam laborum doloribus dolorem esse consequuntur, provident cum molestias error deserunt quaerat architecto nostrum, pariatur quaerat inventore eos maxime."
1976-12-21T07:23:04,0ee50ffb-9edb-48af-99cc-f2fa3691a3b0,ardiantoluthfi,"Necessitatibus cumque similique natus nostrum cupiditate, id sed cupiditate non repellendus amet enim, eaque repellat magni similique animi eligendi exercitationem minima, dolor fugiat nulla ipsa optio porro?"
2009-04-12T13:53:18,cb2a942c-5bd0-4ad5-a3c6-f3d9a2af9634,devifarida,"Veniam excepturi ad accusamus quia quaerat dolorem at omnis laudantium, molestias beatae vitae error placeat possimus impedit cumque, atque maiores reprehenderit assumenda iure soluta pariatur nesciunt necessitatibus, sapiente officiis soluta deserunt exercitationem pariatur impedit ab perspiciatis?"
1999-03-12T09:40:17,c8314cd7-6e85-431b-8bff-3258019c9fad,melanikariman,"Ab dolores porro corrupti eos ut adipisci minima, sit id doloremque odio voluptatibus sed necessitatibus illo eius, maiores adipisci corporis ipsam omnis iste praesentium velit optio rem quam asperiores, laborum harum velit veritatis dolorem, ipsum facilis minima totam?"
1971-05-09T04:55:41,a85d5983-d72c-4882-834c-cfc88f7f2b20,anggrainiembuh,"Facilis perferendis quis laudantium perspiciatis obcaecati delectus non voluptatibus accusamus assumenda, labore quasi commodi dolorum quisquam fuga eveniet illo."
1974-11-27T05:06:18,7f8fd016-85f6-45a8-99f7-ec7d62e8d7eb,praba87,"Corporis distinctio minima at, distinctio vero itaque quisquam minus inventore sed repellat nesciunt voluptatem optio a, dolores consequatur sapiente accusamus natus porro quidem, accusantium maxime delectus ullam tenetur voluptatibus."
2002-05-13T11:24:19,088e580a-7eff-4d83-acd7-461b41245edd,iannugroho,"Minima ab placeat vel sit aspernatur non expedita optio cupiditate deserunt, asperiores adipisci reprehenderit natus sed maiores itaque repellendus amet?"
